District,Site,Address
Central Oahu,Mililani Mauka Elementary School,"95-1111 Makaikai St, Mililani, HI 96789"
Central Oahu,Mililani Middle School,"95-1140 Lehiwa Dr, Mililani, HI 96789"
Central Oahu,Mililani High School,"95-1200 Meheula Pkwy, Mililani, HI 96789"
Central Oahu,Mililani Uka Elementary School,"94-380 Kuahelani Ave, Mililani, HI 96789"
Central Oahu,Kipapa Elementary School,"95-076 Kipapa Dr, Mililani, HI 96789"
East Honolulu,Kaiser High School,"511 Lunalilo Home Rd, Honolulu, HI 96825"
East Honolulu,Koko Head Elementary School,"189 Lunalilo Home Rd, Honolulu, HI 96825"
East Honolulu,Niu Valley Middle School,"310 Halemaumau St, Honolulu, HI 96821"
East Honolulu,Aina Haina Elementary School,"801 W Hind Dr, Honolulu, HI 96821"
East Honolulu,Kalani High School,"4680 Kalanianaole Hwy, Honolulu, HI 96821"
Ewa,Ewa Elementary School,"91-1280 Renton Rd, Ewa Beach, HI 96706"
Ewa,Campbell High School,"91-980 North Rd, Ewa Beach, HI 96706"
Ewa,Ewa Beach Elementary School,"91-740 Papipi Rd, Ewa Beach, HI 96706"
Ewa,Kapolei Elementary School,"91-1119 Kamaaha Loop, Kapolei, HI 96707"
Ewa,Kapolei High School,"91-5007 Kapolei Pkwy, Kapolei, HI 96707"
Kailua,Kalaheo High School,"730 Iliaina St, Kailua, HI 96734"
Kailua,Kailua Elementary School,"315 Kuulei Rd, Kailua, HI 96734"
Kailua,Enchanted Lake Elementary School,"770 Keolu Dr, Kailua, HI 96734"
Kailua,Lanikai Elementary School,"140 Alala Rd, Kailua, HI 96734"
Kailua,Keolu Elementary School,"1416 Keolu Dr, Kailua, HI 96734"
Kaneohe,Ahuimanu Elementary School,"47-470 Hui Aeko Pl, Kaneohe, HI 96744"
Kaneohe,Benjamin Parker Elementary School,"45-259 Waikalua Rd, Kaneohe, HI 96744"
Kaneohe,Kaneohe Elementary School,"45-495 Kamehameha Hwy, Kaneohe, HI 96744"
Kaneohe,Castle High School,"45-386 Kaneohe Bay Dr, Kaneohe, HI 96744"
Kaneohe,Maunawili Elementary School,"1465 Ulupii St, Kailua, HI 96734"
Leeward Coast,Nanaikapono Elementary School,"89-153 Mano Ave, Waianae, HI 96792"
Leeward Coast,Maili Elementary School,"87-360 Kulaaupuni St, Waianae, HI 96792"
Leeward Coast,Waianae Intermediate School,"85-626 Farrington Hwy, Waianae, HI 96792"
Leeward Coast,Makaha Elementary School,"84-200 Ala Naauao Pl, Waianae, HI 96792"
Metro,Kaimuki High School,"2705 Kaimuki Ave, Honolulu, HI 96816"
Metro,Washington Middle School,"1633 S King St, Honolulu, HI 96826"
Metro,Stevenson Middle School,"1202 Prospect St, Honolulu, HI 96822"
Metro,McKinley High School,"1039 S King St, Honolulu, HI 96814"
Metro,Central Middle School,"1302 Queen Emma St, Honolulu, HI 96813"
Metro,Kapalama Elementary School,"1601 N School St, Honolulu, HI 96817"
Metro,Farrington High School,"1564 North King Street, Honolulu, HI 96817"
Metro,Radford High School,"4361 Salt Lake Blvd, Honolulu, HI 96818"
North Shore,Wahiawa Middle School,"275 Rose St, Wahiawa, HI 96786"
North Shore,Leilehua High School,"1515 California Ave, Wahiawa, HI 96786"
North Shore,Haleiwa Elementary School,"66-505 Haleiwa Rd, Haleiwa, HI 96712"
North Shore,Sunset Beach Elementary School,"59 Kamehameha Hwy, Haleiwa, HI 96712"
North Shore,Kahuku High/Intermediate School,"56-490 Kamehameha Hwy, Kahuku, HI 96731"
Pearl City,Pearl Ridge Elementary School,"98-940 Moanalua Rd, Aiea, HI 96701"
Pearl City,Waimalu Elementary School,"98-825 Moanalua Rd, Aiea, HI 96701"
Pearl City,Pearl City Highlands Elementary School,"1419 Waimano Home Rd, Pearl City, HI 96782"
Pearl City,Lehua Elementary School,"791 Lehua Ave, Pearl City, HI 96782"
Pearl City,Manana Elementary School,"1147 Kumano St, Pearl City, HI 96782"
Waipahu,August Ahrens Elementary School,"94-1170 Waipahu St, Waipahu, HI 96797"
Waipahu,Waipahu High School,"94-1211 Farrington Hwy, Waipahu, HI 96797"
Waipahu,Waipahu Elementary School,"94-465 Waipahu St, Waipahu, HI 96797"
Waipahu,Kaleiopuu Elementary School,"94-665 Kaaholo St, Waipahu, HI 96797"
Waipahu,Mauka Lani Elementary School,"92-1300 Panana St, Kapolei, HI 96707"